PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,"9,950",2.5,57.38,1.12,55.28,"114,980",1.6,25.75,35.8,48.82,65.62,92.45,"53,570","74,470","101,560","136,490","192,300",,
AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,"8,940",3.3,51.567,0.98,37.63,"78,260",1.9,20.61,27.08,35.21,46.08,58.26,"42,870","56,320","73,230","95,850","121,190",,
AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,"3,570",9.2,20.606,0.69,41.3,"85,900",3,21.59,27.96,38.11,48.82,64.47,"44,910","58,150","79,270","101,550","134,090",,
AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,"4,820",3.4,27.787,1.57,51.75,"107,650",3.4,25.7,34.53,46.06,61.02,79.97,"53,460","71,820","95,810","126,920","166,340",,
AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,"2,480",4.4,14.325,1.78,39.72,"82,610",2.7,21.61,28.02,37.32,47.22,59.26,"44,960","58,280","77,620","98,210","123,270",,
AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,"3,690",4.3,21.256,1.45,26.04,"54,170",4.4,14.41,17.89,24.53,32,39.99,"29,970","37,200","51,020","66,550","83,180",,
AK,11260,"Anchorage, AK",23-0000,Legal Occupations,major,"1,400",6.1,8.062,1.05,46.61,"96,940",5.6,23.29,29.96,41.58,57.74,76.6,"48,450","62,320","86,480","120,100","159,320",,
AK,11260,"Anchorage, AK",25-0000,"Education, Training, and Library Occupations",major,"9,490",1.9,54.729,0.89,31.96,"66,470",3.3,13.72,20.48,31.33,41.94,51,"28,540","42,600","65,160","87,230","106,080",,
AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"2,030",7.7,11.687,0.87,27.91,"58,050",5.6,11.45,16.69,23.28,33.39,49.38,"23,820","34,720","48,430","69,460","102,710",,
AK,11260,"Anchorage, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,"10,620",4.5,61.252,1.03,46.15,"96,000",3.1,19.42,27.49,39,53.59,77.18,"40,400","57,180","81,120","111,460","160,540",,
AK,11260,"Anchorage, AK",31-0000,Healthcare Support Occupations,major,"5,160",7.4,29.748,1.03,21.69,"45,120",4.3,11.93,16.09,19.44,24.55,33.54,"24,820","33,460","40,430","51,070","69,770",,
AK,11260,"Anchorage, AK",33-0000,Protective Service Occupations,major,"4,020",4.9,23.188,0.97,29.11,"60,540",5.4,13.67,18.68,27.21,37.35,47.93,"28,440","38,850","56,590","77,690","99,700",,
AK,11260,"Anchorage, AK",35-0000,Food Preparation and Serving Related Occupations,major,"16,790",3.3,96.816,1.05,13.32,"27,710",1.8,10.07,10.38,11.66,14.71,19.04,"20,950","21,600","24,250","30,590","39,590",,
AK,11260,"Anchorage, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"4,850",7.7,27.988,0.9,16.5,"34,310",3.2,10.49,11.96,15.08,19.08,24.33,"21,820","24,870","31,360","39,690","50,610",,
AK,11260,"Anchorage, AK",39-0000,Personal Care and Service Occupations,major,"7,860",4.5,45.327,1.25,15.04,"31,280",1.5,10.2,11.59,14.34,17.54,20.04,"21,210","24,110","29,830","36,470","41,680",,
AK,11260,"Anchorage, AK",41-0000,Sales and Related Occupations,major,"15,330",4.9,88.401,0.87,19.32,"40,180",2.3,10.29,11.38,14.46,22.36,34.18,"21,400","23,670","30,070","46,500","71,100",,
AK,11260,"Anchorage, AK",43-0000,Office and Administrative Support Occupations,major,"29,160",2.3,168.118,1.09,20.8,"43,270",1.2,12.35,15.26,19.59,25.23,30.4,"25,680","31,740","40,760","52,480","63,220",,
AK,11260,"Anchorage, AK",45-0000,"Farming, Fishing, and Forestry Occupations",major,,,,,13.26,"27,570",5.7,10.17,10.56,11.19,11.83,22.59,"21,160","21,950","23,280","24,610","46,990",,
AK,11260,"Anchorage, AK",47-0000,Construction and Extraction Occupations,major,"7,960",4.2,45.899,1.14,32.13,"66,830",1.5,18.58,24.04,31.52,39.4,47.3,"38,650","50,010","65,560","81,950","98,390",,
AK,11260,"Anchorage, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,"8,450",4.3,48.696,1.26,29.72,"61,820",2,16.13,21.06,29.33,37.2,45.36,"33,560","43,810","61,000","77,370","94,360",,
AK,11260,"Anchorage, AK",51-0000,Production Occupations,major,"3,290",5.6,18.961,0.3,22.73,"47,290",3.9,10.92,13.78,19.52,28.6,39.59,"22,710","28,650","40,600","59,490","82,340",,
AK,11260,"Anchorage, AK",53-0000,Transportation and Material Moving Occupations,major,"13,450",4.2,77.564,1.11,29.03,"60,380",6.4,11.83,15.14,21.58,31.48,57.05,"24,610","31,490","44,890","65,490","118,670",,
AK,21820,"Fairbanks, AK",11-0000,Management Occupations,major,"2,070",5,56.4,1.1,46.47,"96,650",2,24.79,32.32,43.44,55.65,70.84,"51,560","67,230","90,360","115,750","147,360",,
AK,21820,"Fairbanks, AK",13-0000,Business and Financial Operations Occupations,major,"1,330",3.9,36.398,0.69,37.27,"77,510",2.9,21.98,27.65,34.52,43.44,51.66,"45,720","57,520","71,810","90,360","107,460",,
AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,major,570,6.3,15.544,0.52,37.49,"77,980",3.3,23.88,29.22,36.45,44.71,50.63,"49,660","60,780","75,810","93,000","105,310",,
